scene_name,city,split,provider__Google_Satellite,provider__Bing_Satellite,provider__ESRI_Satellite,provider__Yandex_Satellite,provider__OSM_Standard,
chicago__location_1,chicago,train,0,0,1,1,1,
chicago__location_2,chicago,train,1,1,1,1,1,
chicago__location_3,chicago,train,1,1,1,1,1,
chicago__location_4,chicago,train,1,1,1,1,1,
chicago__location_5,chicago,train,1,1,1,1,1,
chicago__location_6,chicago,train,1,1,1,1,1,
chicago__location_7,chicago,train,1,1,1,1,1,
chicago__location_8,chicago,train,1,1,1,1,1,
chicago__location_9,chicago,train,1,1,1,1,1,
chicago__location_10,chicago,train,1,1,1,1,1,
chicago__location_11,chicago,train,1,1,1,1,1,
chicago__location_12,chicago,train,1,1,1,1,1,
chicago__location_13,chicago,train,1,1,1,1,1,
chicago__location_14,chicago,train,1,1,1,1,1,
chicago__location_15,chicago,train,1,1,1,1,1,
chicago__location_16,chicago,train,1,1,1,1,1,
chicago__location_17,chicago,train,1,0,1,1,1,
chicago__location_18,chicago,train,1,1,1,1,1,
chicago__location_19,chicago,train,1,1,1,1,1,
chicago__location_20,chicago,train,1,1,1,1,1,
chicago__location_21,chicago,train,1,1,1,1,1,
chicago__location_22,chicago,train,1,1,1,1,1,
chicago__location_23,chicago,train,1,1,1,1,1,
chicago__location_24,chicago,train,1,1,1,1,1,
chicago__location_25,chicago,train,1,1,1,1,1,
chicago__location_26,chicago,train,1,1,1,1,1,
chicago__location_27,chicago,train,1,1,1,1,1,
chicago__location_28,chicago,train,1,1,1,1,1,
chicago__location_29,chicago,train,1,1,1,1,1,
chicago__location_30,chicago,train,1,1,1,1,1,
chicago__location_31,chicago,train,1,1,1,1,1,
chicago__location_32,chicago,train,1,1,1,1,1,
chicago__location_33,chicago,train,1,1,1,1,1,
chicago__location_34,chicago,train,1,1,1,1,1,
chicago__location_35,chicago,train,1,1,1,1,1,
chicago__location_36,chicago,train,1,1,1,1,1,
chicago__location_37,chicago,train,1,1,1,1,1,
chicago__location_38,chicago,train,1,1,1,1,1,
chicago__location_39,chicago,train,1,1,1,1,1,
chicago__location_40,chicago,train,1,0,1,1,1,
chicago__location_41,chicago,train,1,1,1,1,1,
chicago__location_42,chicago,train,1,1,1,1,1,
chicago__location_43,chicago,train,1,1,1,1,1,
chicago__location_44,chicago,train,1,1,1,1,1,
chicago__location_45,chicago,train,1,1,1,1,1,
chicago__location_46,chicago,train,1,1,1,1,1,
chicago__location_47,chicago,train,1,1,1,1,1,
chicago__location_48,chicago,train,1,1,1,1,1,
chicago__location_49,chicago,train,1,1,1,1,1,
chicago__location_50,chicago,train,1,1,1,1,1,
chicago__location_51,chicago,train,1,1,1,1,1,
chicago__location_52,chicago,train,1,1,1,1,1,
chicago__location_53,chicago,train,1,1,1,1,1,
chicago__location_54,chicago,train,1,1,1,1,1,
chicago__location_55,chicago,train,1,1,1,1,1,
chicago__location_56,chicago,train,1,1,1,1,1,
chicago__location_57,chicago,train,1,1,1,1,1,
chicago__location_58,chicago,train,1,1,1,1,1,
chicago__location_59,chicago,train,1,1,1,1,1,
chicago__location_60,chicago,train,1,1,1,1,1,
chicago__location_61,chicago,train,1,1,1,1,1,
chicago__location_62,chicago,train,1,1,1,1,1,
chicago__location_63,chicago,train,1,1,1,1,1,
chicago__location_64,chicago,train,1,1,1,1,1,
chicago__location_65,chicago,train,1,1,1,1,1,
chicago__location_66,chicago,train,1,1,1,1,1,
chicago__location_67,chicago,train,1,1,1,1,1,
chicago__location_68,chicago,train,1,1,1,1,1,
chicago__location_69,chicago,train,1,1,1,1,1,
chicago__location_70,chicago,train,1,1,1,1,1,
chicago__location_71,chicago,train,1,1,1,1,1,
chicago__location_72,chicago,train,1,1,1,1,1,
chicago__location_73,chicago,train,1,1,1,1,1,
chicago__location_74,chicago,train,1,1,1,1,1,
chicago__location_75,chicago,train,1,1,1,1,1,
chicago__location_76,chicago,train,1,1,1,1,1,
chicago__location_77,chicago,train,1,1,1,1,1,
chicago__location_78,chicago,train,1,1,1,1,1,
chicago__location_79,chicago,train,1,1,1,1,1,
chicago__location_80,chicago,train,1,1,1,1,1,
chicago__location_81,chicago,train,1,1,1,1,1,
chicago__location_82,chicago,train,1,1,1,1,1,
chicago__location_83,chicago,train,1,1,1,1,1,
chicago__location_84,chicago,train,1,1,1,1,1,
chicago__location_85,chicago,train,1,1,1,1,1,
chicago__location_86,chicago,train,1,1,1,1,1,
chicago__location_87,chicago,train,1,1,1,1,1,
chicago__location_88,chicago,train,1,1,1,1,1,
chicago__location_89,chicago,train,1,1,1,1,1,
chicago__location_90,chicago,train,1,1,1,1,1,
chicago__location_91,chicago,train,1,1,1,1,1,
chicago__location_92,chicago,train,1,0,1,1,1,
chicago__location_93,chicago,train,1,1,1,1,1,
chicago__location_94,chicago,train,1,1,1,1,1,
chicago__location_95,chicago,train,1,1,1,1,1,
chicago__location_96,chicago,train,1,1,1,1,1,
chicago__location_97,chicago,train,1,1,1,1,1,
chicago__location_98,chicago,train,1,1,1,1,1,
chicago__location_99,chicago,train,1,1,1,1,1,
chicago__location_100,chicago,train,1,1,1,1,1,
chicago__location_101,chicago,train,1,1,1,1,1,
chicago__location_102,chicago,train,1,1,1,1,1,
chicago__location_103,chicago,train,1,1,1,1,1,
chicago__location_104,chicago,train,1,1,1,1,1,
chicago__location_105,chicago,train,1,1,1,1,1,
chicago__location_106,chicago,train,1,1,1,1,1,
chicago__location_107,chicago,train,1,1,1,1,1,
chicago__location_108,chicago,train,1,1,1,1,1,
chicago__location_109,chicago,train,1,1,1,1,1,
chicago__location_110,chicago,train,1,1,1,1,1,
chicago__location_111,chicago,train,1,1,1,1,1,
chicago__location_112,chicago,train,0,1,1,1,1,
chicago__location_113,chicago,train,1,1,1,1,1,
chicago__location_114,chicago,train,1,1,1,1,1,
chicago__location_115,chicago,train,1,1,1,1,1,
chicago__location_116,chicago,train,1,1,1,1,1,
chicago__location_117,chicago,train,1,1,1,1,1,
chicago__location_118,chicago,train,1,1,1,1,1,
chicago__location_119,chicago,train,1,1,1,1,1,
chicago__location_120,chicago,train,1,1,1,1,1,
chicago__location_121,chicago,train,1,1,1,1,1,
chicago__location_122,chicago,train,1,1,1,1,1,
chicago__location_123,chicago,train,1,1,1,1,1,
chicago__location_124,chicago,train,1,1,1,1,1,
chicago__location_125,chicago,train,1,1,1,1,1,
chicago__location_126,chicago,train,1,1,1,1,1,
chicago__location_127,chicago,train,1,1,1,1,1,
chicago__location_128,chicago,train,1,1,1,1,1,
chicago__location_129,chicago,train,1,1,1,1,1,
chicago__location_130,chicago,train,1,1,1,1,1,
chicago__location_131,chicago,train,1,1,1,1,1,
chicago__location_132,chicago,train,1,1,1,1,1,
chicago__location_133,chicago,train,1,1,1,1,1,
chicago__location_134,chicago,train,1,1,1,1,1,
chicago__location_135,chicago,train,1,1,1,1,1,
chicago__location_136,chicago,train,1,1,1,1,1,
chicago__location_137,chicago,train,1,1,1,1,1,
chicago__location_138,chicago,train,1,1,1,1,1,
chicago__location_139,chicago,train,1,1,1,1,1,
chicago__location_140,chicago,train,1,1,1,1,1,
chicago__location_141,chicago,train,1,1,1,1,1,
chicago__location_142,chicago,train,1,1,1,1,1,
chicago__location_143,chicago,train,1,1,1,1,1,
chicago__location_144,chicago,train,1,1,1,1,1,
chicago__location_145,chicago,train,1,1,1,1,1,
chicago__location_146,chicago,train,1,1,1,1,1,
chicago__location_147,chicago,train,1,1,1,1,1,
chicago__location_148,chicago,train,1,1,1,1,1,
chicago__location_149,chicago,train,1,1,1,1,1,
chicago__location_150,chicago,train,1,1,1,1,1,
